year,district,crime_category,primary_type,neighborhood,count
2007,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,7087
2007,19,Property Crimes,THEFT,Lake View / Lincoln Park,3657
2007,20,Property Crimes,THEFT,Andersonville / Edgewater,1794
2007,21,Property Crimes,THEFT,Chinatown / Douglas,2269
2007,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2837
2007,23,Property Crimes,THEFT,Boystown / Lake View,2318
2007,24,Property Crimes,THEFT,Edgewater / Rogers Park,2975
2007,25,Violent Crimes,BATTERY,Austin / Avondale,4526
2008,1,Property Crimes,THEFT,Douglas / Loop,6292
2008,2,Violent Crimes,BATTERY,Douglas / Englewood,2336
2008,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,4653
2008,4,Violent Crimes,BATTERY,Avalon Park / Burnside,4887
2008,5,Violent Crimes,BATTERY,Burnside / Pullman,4101
2008,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5117
2008,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,6444
2008,8,Property Crimes,THEFT,Archer Heights / Ashburn,5836
2008,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,3818
2008,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3648
2008,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,5963
2008,12,Property Crimes,THEFT,East Village / Garfield Park,2886
2008,13,Property Crimes,THEFT,East Village / Garfield Park,3300
2008,14,Property Crimes,THEFT,Avondale / Bucktown,4556
2008,15,Drug Offenses,NARCOTICS,Austin,5397
2008,16,Property Crimes,THEFT,Dunning / Edison Park,3794
2008,17,Property Crimes,THEFT,Albany Park / Avondale,3074
2008,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,7575
2008,19,Property Crimes,THEFT,Lake View / Lincoln Park,3902
2008,20,Property Crimes,THEFT,Andersonville / Edgewater,1821
2008,21,Property Crimes,THEFT,Chinatown / Douglas,2192
2008,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2760
2008,23,Property Crimes,THEFT,Boystown / Lake View,2667
2008,24,Property Crimes,THEFT,Edgewater / Rogers Park,2830
2008,25,Property Crimes,THEFT,Austin / Avondale,4506
2009,1,Property Crimes,THEFT,Douglas / Loop,5749
2009,2,Violent Crimes,BATTERY,Douglas / Englewood,2120
2009,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,4241
2009,4,Violent Crimes,BATTERY,Avalon Park / Burnside,4290
2009,5,Violent Crimes,BATTERY,Burnside / Pullman,3918
2009,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,4382
2009,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,5193
2009,8,Property Crimes,THEFT,Archer Heights / Ashburn,5488
2009,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,3397
2009,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3383
2009,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,5994
2009,12,Property Crimes,THEFT,East Village / Garfield Park,2574
2009,13,Property Crimes,THEFT,East Village / Garfield Park,2682
