dayofweek,beat,district,primary_type,count,average
Friday,0215,02,ASSAULT,92,0.010755202244563947
Friday,0215,02,BATTERY,206,0.02408230067804536
Friday,0215,02,BURGLARY,42,0.004909983633387889
Friday,0215,02,CRIM SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0215,02,CRIMINAL DAMAGE,136,0.01589899462239888
Friday,0215,02,CRIMINAL SEXUAL ASSAULT,3,0.00035071311667056346
Friday,0215,02,CRIMINAL TRESPASS,30,0.0035071311667056347
Friday,0215,02,DECEPTIVE PRACTICE,68,0.00794949731119944
Friday,0215,02,HOMICIDE,2,0.00023380874444704232
Friday,0215,02,INTERFERENCE WITH PUBLIC OFFICER,4,0.00046761748889408465
Friday,0215,02,KIDNAPPING,1,0.00011690437222352116
Friday,0215,02,LIQUOR LAW VIOLATION,1,0.00011690437222352116
Friday,0215,02,MOTOR VEHICLE THEFT,94,0.01098901098901099
Friday,0215,02,NARCOTICS,98,0.011456628477905073
Friday,0215,02,OFFENSE INVOLVING CHILDREN,14,0.0016366612111292963
Friday,0215,02,OTHER OFFENSE,85,0.009936871638999298
Friday,0215,02,PROSTITUTION,2,0.00023380874444704232
Friday,0215,02,PUBLIC PEACE VIOLATION,5,0.0005845218611176058
Friday,0215,02,ROBBERY,40,0.004676174888940846
Friday,0215,02,SEX OFFENSE,3,0.00035071311667056346
Friday,0215,02,STALKING,3,0.00035071311667056346
Friday,0215,02,THEFT,204,0.023848491933598316
Friday,0215,02,WEAPONS VIOLATION,24,0.0028057049333645077
Friday,0221,02,ARSON,2,0.00023380874444704232
Friday,0221,02,ASSAULT,207,0.02419920505026888
Friday,0221,02,BATTERY,594,0.06944119710077157
Friday,0221,02,BURGLARY,136,0.01589899462239888
Friday,0221,02,CRIM SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0221,02,CRIMINAL DAMAGE,238,0.027823240589198037
Friday,0221,02,CRIMINAL SEXUAL ASSAULT,2,0.00023380874444704232
Friday,0221,02,CRIMINAL TRESPASS,121,0.01414542903904606
Friday,0221,02,DECEPTIVE PRACTICE,109,0.012742576572363806
Friday,0221,02,GAMBLING,5,0.0005845218611176058
Friday,0221,02,HOMICIDE,1,0.00011690437222352116
Friday,0221,02,INTERFERENCE WITH PUBLIC OFFICER,4,0.00046761748889408465
Friday,0221,02,INTIMIDATION,1,0.00011690437222352116
Friday,0221,02,KIDNAPPING,4,0.00046761748889408465
Friday,0221,02,LIQUOR LAW VIOLATION,4,0.00046761748889408465
Friday,0221,02,MOTOR VEHICLE THEFT,148,0.01730184708908113
Friday,0221,02,NARCOTICS,530,0.061959317278466215
Friday,0221,02,OFFENSE INVOLVING CHILDREN,24,0.0028057049333645077
