dayofweek,district,primary_type,count,average
Friday,15,SEX OFFENSE,137,0.0160158989946224
Friday,15,STALKING,16,0.0018704699555763386
Friday,15,THEFT,5756,0.6729015665185878
Friday,15,WEAPONS VIOLATION,905,0.10579845686228664
Friday,16,ARSON,56,0.006546644844517185
Friday,16,ASSAULT,2186,0.25555295768061725
Friday,16,BATTERY,5458,0.6380640635959784
Friday,16,BURGLARY,2486,0.2906242693476736
Friday,16,CONCEALED CARRY LICENSE VIOLATION,44,0.005143792377834931
Friday,16,CRIM SEXUAL ASSAULT,88,0.010287584755669862
Friday,16,CRIMINAL DAMAGE,6487,0.7583586626139818
Friday,16,CRIMINAL SEXUAL ASSAULT,39,0.004559270516717325
Friday,16,CRIMINAL TRESPASS,1225,0.1432078559738134
Friday,16,DECEPTIVE PRACTICE,3112,0.3638064063595978
Friday,16,GAMBLING,33,0.0038578442833761984
Friday,16,HOMICIDE,16,0.0018704699555763386
Friday,16,HUMAN TRAFFICKING,2,0.00023380874444704232
Friday,16,INTERFERENCE WITH PUBLIC OFFICER,50,0.005845218611176058
Friday,16,INTIMIDATION,22,0.0025718961889174656
Friday,16,KIDNAPPING,61,0.007131166705634791
Friday,16,LIQUOR LAW VIOLATION,131,0.015314472761281272
Friday,16,MOTOR VEHICLE THEFT,2032,0.23754968435819498
Friday,16,NARCOTICS,1786,0.2087912087912088
Friday,16,NON-CRIMINAL,8,0.0009352349777881693
Friday,16,OBSCENITY,9,0.0010521393500116905
Friday,16,OFFENSE INVOLVING CHILDREN,312,0.0364741641337386
Friday,16,OTHER NARCOTIC VIOLATION,2,0.00023380874444704232
Friday,16,OTHER OFFENSE,4155,0.4857376665887304
Friday,16,PROSTITUTION,47,0.005494505494505495
Friday,16,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,16,PUBLIC PEACE VIOLATION,276,0.03226560673369184
Friday,16,ROBBERY,631,0.07376665887304185
Friday,16,SEX OFFENSE,198,0.02314706570025719
Friday,16,STALKING,42,0.004909983633387889
Friday,16,THEFT,10010,1.1702127659574468
Friday,16,WEAPONS VIOLATION,217,0.02536824877250409
Friday,17,ARSON,66,0.007715688566752397
Friday,17,ASSAULT,1758,0.2055178863689502
Friday,17,BATTERY,5125,0.5991349076455459
Friday,17,BURGLARY,2614,0.3055880289922843
Friday,17,CONCEALED CARRY LICENSE VIOLATION,2,0.00023380874444704232
Friday,17,CRIM SEXUAL ASSAULT,106,0.012391863455693243
Friday,17,CRIMINAL DAMAGE,4978,0.5819499649286883
Friday,17,CRIMINAL SEXUAL ASSAULT,29,0.0033902267944821134
Friday,17,CRIMINAL TRESPASS,737,0.0861585223287351
Friday,17,DECEPTIVE PRACTICE,1799,0.21031096563011456
Friday,17,GAMBLING,35,0.004091653027823241
Friday,17,HOMICIDE,33,0.0038578442833761984
